17:37:34.520 [ApplicationImpl pooled thread 213] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:40:21.702 [ApplicationImpl pooled thread 217] INFO  c.b.l.BrowserStackRunExtension - testng
17:40:21.702 [ApplicationImpl pooled thread 217] INFO  com.browserstack.utils.Helpers - null
17:40:21.702 [ApplicationImpl pooled thread 217] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:42:35.914 [ApplicationImpl pooled thread 222] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:42:35.914 [ApplicationImpl pooled thread 222] INFO  com.browserstack.utils.Helpers - null
17:42:35.930 [ApplicationImpl pooled thread 222] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:43:06.950 [ApplicationImpl pooled thread 221] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:43:06.950 [ApplicationImpl pooled thread 221] INFO  com.browserstack.utils.Helpers - null
17:43:06.964 [ApplicationImpl pooled thread 221] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:43:39.953 [ApplicationImpl pooled thread 223] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:43:39.953 [ApplicationImpl pooled thread 223] INFO  com.browserstack.utils.Helpers - null
17:43:39.969 [ApplicationImpl pooled thread 223] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:44:07.299 [ApplicationImpl pooled thread 223] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:44:07.299 [ApplicationImpl pooled thread 223] INFO  com.browserstack.utils.Helpers - null
17:44:07.315 [ApplicationImpl pooled thread 223] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:44:22.608 [ApplicationImpl pooled thread 208] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:44:22.608 [ApplicationImpl pooled thread 208] INFO  com.browserstack.utils.Helpers - null
17:44:22.624 [ApplicationImpl pooled thread 208] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:52:45.602 [ApplicationImpl pooled thread 231] INFO  c.b.l.BrowserStackRunExtension - testng
17:52:45.602 [ApplicationImpl pooled thread 231] INFO  com.browserstack.utils.Helpers - null
17:52:45.603 [ApplicationImpl pooled thread 231] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:53:06.695 [ApplicationImpl pooled thread 237] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:53:06.695 [ApplicationImpl pooled thread 237] INFO  com.browserstack.utils.Helpers - null
17:53:06.711 [ApplicationImpl pooled thread 237] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:53:33.078 [ApplicationImpl pooled thread 237] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:53:33.078 [ApplicationImpl pooled thread 237] INFO  com.browserstack.utils.Helpers - null
17:53:33.078 [ApplicationImpl pooled thread 237] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:55:59.631 [ApplicationImpl pooled thread 240] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:55:59.631 [ApplicationImpl pooled thread 240] INFO  com.browserstack.utils.Helpers - null
17:55:59.647 [ApplicationImpl pooled thread 240] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:56:45.311 [ApplicationImpl pooled thread 240] INFO  c.b.l.BrowserStackRunExtension - testng
17:56:45.311 [ApplicationImpl pooled thread 240] INFO  com.browserstack.utils.Helpers - null
17:56:45.311 [ApplicationImpl pooled thread 240] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
